exp	kind	word	m_or_mag	content	inhib_pregame	inhib_postgame
ablation	targeted	smile	1	0.09843041652432676	0.0	0.0
ablation	random	smile	1	0.09517055090955588	0.0	0.0
ablation	targeted	smile	2	0.0999628065458736	0.0	0.0
ablation	random	smile	2	0.09517045715612212	0.0	0.0
ablation	targeted	smile	8	0.014507239190018775	0.0	0.0
ablation	random	smile	8	0.09513657328633426	0.0	0.0
ablation	targeted	smile	16	0.00041574491158786363	0.0	0.0
ablation	random	smile	16	0.09523662050383533	0.0	0.0
ablation	targeted	smile	32	0.00017844324782644304	0.0	0.0
ablation	random	smile	32	0.09442105788570765	0.0	0.0
ablation	targeted	ship	1	0.07469297021605004	0.0	0.0
ablation	random	ship	1	0.11398732144792197	0.0	0.0
ablation	targeted	ship	2	0.07264346179678047	0.0	0.0
ablation	random	ship	2	0.11397682931396744	0.0	0.0
ablation	targeted	ship	8	0.0010529192525780536	0.0	0.0
ablation	random	ship	8	0.11406343207051703	0.0	0.0
ablation	targeted	ship	16	0.0014340913937349537	0.0	0.0
ablation	random	ship	16	0.11466597997038294	0.0	0.0
ablation	targeted	ship	32	0.0014227507112709067	0.0	0.0
ablation	random	ship	32	0.1131307284416552	0.0	0.0
noise	targeted	smile	0.0	0.04612732934594389	0.0	0.9
noise	random	smile	0.0	0.046127329345943886	0.0	0.9
noise	targeted	smile	0.5	0.01644144556474831	0.0	0.91
noise	random	smile	0.5	0.05670892317343948	0.0	0.9066666666666666
noise	targeted	smile	1.0	3.281913783154337e-07	0.0	0.9
noise	random	smile	1.0	0.038178127191867986	0.0	0.9033333333333333
noise	targeted	smile	2.0	8.230451799216447e-17	0.0	0.0
noise	random	smile	2.0	0.011253014975882863	0.0	0.8133333333333334
noise	targeted	smile	4.0	1.2698297468797538e-24	0.0	0.0
noise	random	smile	4.0	0.00017258723810203693	0.0	0.013333333333333334
noise	targeted	ship	0.0	0.14603162793520583	0.0	0.9
noise	random	ship	0.0	0.1460316279352058	0.0	0.9
noise	targeted	ship	0.5	0.0037724485249002416	0.0	0.16
noise	random	ship	0.5	0.12847514018746573	0.0	0.8433333333333334
noise	targeted	ship	1.0	0.0018969051554018634	0.0	0.0
noise	random	ship	1.0	0.09393797770437123	0.0	0.7633333333333333
noise	targeted	ship	2.0	3.081769326485649e-13	0.0	0.0
noise	random	ship	2.0	0.016571263814423486	0.0	0.44
noise	targeted	ship	4.0	2.1255860767887875e-19	0.0	0.0
noise	random	ship	4.0	2.8482213365204756e-05	0.0	0.016666666666666666
